sla_policy_id,priority,ticket_category,owner_team,target_resolution_hours,target_first_action_hours
SLA_LEAD_ROUTING_P1,P1,lead_routing,Sales Ops,4,1
SLA_LEAD_ROUTING_P2,P2,lead_routing,Sales Ops,24,4
SLA_LEAD_ROUTING_P3,P3,lead_routing,Sales Ops,72,8
SLA_LEAD_ROUTING_P4,P4,lead_routing,Sales Ops,120,24
SLA_TERRITORY_ASSIGNMENT_P1,P1,territory_assignment,Sales Ops,4,1
SLA_TERRITORY_ASSIGNMENT_P2,P2,territory_assignment,Sales Ops,24,4
SLA_TERRITORY_ASSIGNMENT_P3,P3,territory_assignment,Sales Ops,72,8
SLA_TERRITORY_ASSIGNMENT_P4,P4,territory_assignment,Sales Ops,120,24
SLA_ACCOUNT_OWNERSHIP_P1,P1,account_ownership,Sales Ops,4,1
SLA_ACCOUNT_OWNERSHIP_P2,P2,account_ownership,Sales Ops,24,4
SLA_ACCOUNT_OWNERSHIP_P3,P3,account_ownership,Sales Ops,72,8
SLA_ACCOUNT_OWNERSHIP_P4,P4,account_ownership,Sales Ops,120,24
SLA_OPPORTUNITY_UPDATE_P1,P1,opportunity_update,Sales Ops,4,1
SLA_OPPORTUNITY_UPDATE_P2,P2,opportunity_update,Sales Ops,24,4
SLA_OPPORTUNITY_UPDATE_P3,P3,opportunity_update,Sales Ops,72,8
SLA_OPPORTUNITY_UPDATE_P4,P4,opportunity_update,Sales Ops,120,24
SLA_DATA_QUALITY_P1,P1,data_quality,Sales Ops,4,1
SLA_DATA_QUALITY_P2,P2,data_quality,Sales Ops,24,4
SLA_DATA_QUALITY_P3,P3,data_quality,Sales Ops,72,8
SLA_DATA_QUALITY_P4,P4,data_quality,Sales Ops,120,24
SLA_REPORTING_REQUEST_P1,P1,reporting_request,Sales Ops,4,1
SLA_REPORTING_REQUEST_P2,P2,reporting_request,Sales Ops,24,4
SLA_REPORTING_REQUEST_P3,P3,reporting_request,Sales Ops,72,8
SLA_REPORTING_REQUEST_P4,P4,reporting_request,Sales Ops,120,24
SLA_FORECASTING_SUPPORT_P1,P1,forecasting_support,Sales Ops,4,1
SLA_FORECASTING_SUPPORT_P2,P2,forecasting_support,Sales Ops,24,4
SLA_FORECASTING_SUPPORT_P3,P3,forecasting_support,Sales Ops,72,8
SLA_FORECASTING_SUPPORT_P4,P4,forecasting_support,Sales Ops,120,24
SLA_USER_ACCESS_P1,P1,user_access,CRM Eng,4,1
SLA_USER_ACCESS_P2,P2,user_access,CRM Eng,24,4
SLA_USER_ACCESS_P3,P3,user_access,CRM Eng,72,8
SLA_USER_ACCESS_P4,P4,user_access,CRM Eng,120,24
SLA_AUTOMATION_BUG_P1,P1,automation_bug,CRM Eng,4,1
SLA_AUTOMATION_BUG_P2,P2,automation_bug,CRM Eng,24,4
SLA_AUTOMATION_BUG_P3,P3,automation_bug,CRM Eng,72,8
SLA_AUTOMATION_BUG_P4,P4,automation_bug,CRM Eng,120,24
SLA_FIELD_SYNC_ISSUE_P1,P1,field_sync_issue,CRM Eng,4,1
SLA_FIELD_SYNC_ISSUE_P2,P2,field_sync_issue,CRM Eng,24,4
SLA_FIELD_SYNC_ISSUE_P3,P3,field_sync_issue,CRM Eng,72,8
SLA_FIELD_SYNC_ISSUE_P4,P4,field_sync_issue,CRM Eng,120,24
SLA_QUOTE_ORDER_ISSUE_P1,P1,quote_order_issue,Order Ops,4,1
SLA_QUOTE_ORDER_ISSUE_P2,P2,quote_order_issue,Order Ops,24,4
SLA_QUOTE_ORDER_ISSUE_P3,P3,quote_order_issue,Order Ops,72,8
SLA_QUOTE_ORDER_ISSUE_P4,P4,quote_order_issue,Order Ops,120,24
SLA_CONTRACTING_ISSUE_P1,P1,contracting_issue,Order Ops,4,1
SLA_CONTRACTING_ISSUE_P2,P2,contracting_issue,Order Ops,24,4
SLA_CONTRACTING_ISSUE_P3,P3,contracting_issue,Order Ops,72,8
SLA_CONTRACTING_ISSUE_P4,P4,contracting_issue,Order Ops,120,24
